old_name,heatmap_name,new_name
CP_dend_ipsi_7,CP_ipsi_7,d_89_x204_y137_z130
CP_dend_ipsi_8,CP_ipsi_8,d_90_x205_y164_z115
VPM_11kdend_contra,VPM_11k_contra,d_91_x282_y168_z297
VPM_11kdend_ipsi,VPM_11k_ipsi,d_92_x282_y168_z159
VPM_dend_contra_4,VPM_contra_4,d_93_x283_y158_z318
VPM_dend_contra_6,VPM_contra_6,d_94_x272_y180_z296
VPM_dend_ipsi_4,VPM_ipsi_4,d_95_x283_y158_z138
VPM_dend_ipsi_6,VPM_ipsi_6,d_96_x272_y180_z160
ORBm_11kdend_contra,ORBm_11k_contra,d_97_x104_y131_z240
ORBm_11kdend_ipsi,ORBm_11k_ipsi,d_98_x104_y131_z216
ORBm_dend_contra_5,ORBm_contra_5,d_99_x118_y137_z248
ORBm_dend_contra_9,ORBm_contra_9,d_100_x221_y102_z288
ORBm_dend_ipsi_5,ORBm_ipsi_5,d_101_x118_y137_z208
ORBm_dend_ipsi_9,ORBm_ipsi_9,d_102_x221_y102_z168
ORBl_11kdend_contra,ORBl_11k_contra,d_103_x126_y162_z293
ORBl_11kdend_ipsi,ORBl_11k_ipsi,d_104_x126_y162_z163
ORBl_dend_contra_3,ORBl_contra_3,d_105_x200_y182_z269
ORBl_dend_contra_6,ORBl_contra_6,d_106_x120_y153_z290
ORBl_dend_ipsi_3,ORBl_ipsi_3,d_107_x200_y182_z187
ORBl_dend_ipsi_6,ORBl_ipsi_6,d_108_x120_y153_z166
ORBvl_11kdend_contra,ORBvl_11k_contra,d_109_x110_y144_z260
ORBvl_11kdend_ipsi,ORBvl_11k_ipsi,d_110_x110_y144_z196
ORBvl_dend_contra_2,ORBvl_contra_2,d_111_x115_y144_z263
ORBvl_dend_contra_4,ORBvl_contra_4,d_112_x218_y229_z277
ORBvl_dend_contra_5,ORBvl_contra_5,d_113_x172_y174_z312
ORBvl_dend_ipsi_2,ORBvl_ipsi_2,d_114_x115_y144_z193
ORBvl_dend_ipsi_4,ORBvl_ipsi_4,d_115_x218_y229_z179
ORBvl_dend_ipsi_5,ORBvl_ipsi_5,d_116_x172_y174_z144
ACAv_11kdend_contra,ACAv_11k_contra,d_117_x192_y97_z240
ACAv_11kdend_ipsi,ACAv_11k_ipsi,d_118_x192_y97_z216
ACAv_dend_contra_5,ACAv_contra_5,d_119_x190_y97_z246
ACAv_dend_contra_9,ACAv_contra_9,d_120_x256_y137_z313
ACAv_dend_ipsi_5,ACAv_ipsi_5,d_121_x190_y97_z210
ACAv_dend_ipsi_9,ACAv_ipsi_9,d_122_x256_y137_z143
ACAd_11kdend_contra,ACAd_11k_contra,d_123_x181_y75_z240
ACAd_11kdend_ipsi,ACAd_11k_ipsi,d_124_x181_y75_z216
ACAd_dend_contra_2,ACAd_contra_2,d_125_x164_y81_z248
ACAd_dend_contra_6,ACAd_contra_6,d_126_x284_y33_z269
ACAd_dend_contra_7,ACAd_contra_7,d_127_x142_y122_z257
ACAd_dend_ipsi_2,ACAd_ipsi_2,d_128_x164_y81_z208
ACAd_dend_ipsi_6,ACAd_ipsi_6,d_129_x284_y33_z187
ACAd_dend_ipsi_7,ACAd_ipsi_7,d_130_x142_y122_z199
AId_11kdend_contra,AId_11k_contra,d_131_x138_y168_z332
AId_11kdend_ipsi,AId_11k_ipsi,d_132_x138_y168_z124
AId_dend_contra_2,AId_contra_2,d_133_x240_y176_z379
AId_dend_contra_6,AId_contra_6,d_134_x132_y144_z306
AId_dend_contra_7,AId_contra_7,d_135_x130_y169_z336
AId_dend_ipsi_2,AId_ipsi_2,d_136_x240_y176_z77
AId_dend_ipsi_6,AId_ipsi_6,d_137_x132_y144_z150
AId_dend_ipsi_7,AId_ipsi_7,d_138_x130_y169_z120
MOs_11kdend_contra,MOs_11k_contra,d_139_x148_y78_z282
MOs_11kdend_ipsi,MOs_11k_ipsi,d_140_x148_y78_z174
MOs_dend_contra_2,MOs_contra_2,d_141_x117_y89_z268
MOs_dend_contra_6,MOs_contra_6,d_142_x129_y110_z301
MOs_dend_contra_8,MOs_contra_8,d_143_x194_y62_z260
MOs_dend_ipsi_2,MOs_ipsi_2,d_144_x117_y89_z188
MOs_dend_ipsi_6,MOs_ipsi_6,d_145_x129_y110_z155
MOs_dend_ipsi_8,MOs_ipsi_8,d_146_x194_y62_z196
PreL_11kdend_contra,PreL_11k_contra,d_147_x124_y112_z244
PreL_11kdend_ipsi,PreL_11k_ipsi,d_148_x124_y112_z212
PreL_dend_contra_4,PreL_contra_4,d_149_x125_y115_z251
PreL_dend_ipsi_4,PreL_ipsi_4,d_150_x125_y115_z205
